"CMS Certification Number (CCN)","Provider Name","Address Line 1",City/Town,State,"ZIP Code",County/Parish,"Telephone Number","CMS Region","Measure Code",Score,Footnote,"Start Date","End Date","Measure Date Range",LOCATION1
075011,"AUTUMN LAKE HEALTHCARE AT WINDSOR","581 POQUONOCK AVE",WINDSOR,CT,06095,Capitol,(860)688-7211,1,S_004_01_PPR_PD_COMP_PERF,"No Different than the National Rate",-,10/01/2022,09/30/2024,-,"581 POQUONOCK AVE, WINDSOR, CT, 06095"
075011,"AUTUMN LAKE HEALTHCARE AT WINDSOR","581 POQUONOCK AVE",WINDSOR,CT,06095,Capitol,(860)688-7211,1,S_004_01_PPR_PD_OBS,3.23,-,10/01/2022,09/30/2024,-,"581 POQUONOCK AVE, WINDSOR, CT, 06095"
075011,"AUTUMN LAKE HEALTHCARE AT WINDSOR","581 POQUONOCK AVE",WINDSOR,CT,06095,Capitol,(860)688-7211,1,S_004_01_PPR_PD_OBS_READM,2,-,10/01/2022,09/30/2024,-,"581 POQUONOCK AVE, WINDSOR, CT, 06095"
075011,"AUTUMN LAKE HEALTHCARE AT WINDSOR","581 POQUONOCK AVE",WINDSOR,CT,06095,Capitol,(860)688-7211,1,S_004_01_PPR_PD_RSRR,8.99,-,10/01/2022,09/30/2024,-,"581 POQUONOCK AVE, WINDSOR, CT, 06095"
075011,"AUTUMN LAKE HEALTHCARE AT WINDSOR","581 POQUONOCK AVE",WINDSOR,CT,06095,Capitol,(860)688-7211,1,S_004_01_PPR_PD_RSRR_2_5,5.94,-,10/01/2022,09/30/2024,-,"581 POQUONOCK AVE, WINDSOR, CT, 06095"
075011,"AUTUMN LAKE HEALTHCARE AT WINDSOR","581 POQUONOCK AVE",WINDSOR,CT,06095,Capitol,(860)688-7211,1,S_004_01_PPR_PD_RSRR_97_5,13.16,-,10/01/2022,09/30/2024,-,"581 POQUONOCK AVE, WINDSOR, CT, 06095"
075011,"AUTUMN LAKE HEALTHCARE AT WINDSOR","581 POQUONOCK AVE",WINDSOR,CT,06095,Capitol,(860)688-7211,1,S_004_01_PPR_PD_VOLUME,62,-,10/01/2022,09/30/2024,-,"581 POQUONOCK AVE, WINDSOR, CT, 06095"
075011,"AUTUMN LAKE HEALTHCARE AT WINDSOR","581 POQUONOCK AVE",WINDSOR,CT,06095,Capitol,(860)688-7211,1,S_005_02_DTC_COMP_PERF,"No Different than the National Rate",-,10/01/2022,09/30/2024,-,"581 POQUONOCK AVE, WINDSOR, CT, 06095"
075011,"AUTUMN LAKE HEALTHCARE AT WINDSOR","581 POQUONOCK AVE",WINDSOR,CT,06095,Capitol,(860)688-7211,1,S_005_02_DTC_NUMBER,20,-,10/01/2022,09/30/2024,-,"581 POQUONOCK AVE, WINDSOR, CT, 06095"
075011,"AUTUMN LAKE HEALTHCARE AT WINDSOR","581 POQUONOCK AVE",WINDSOR,CT,06095,Capitol,(860)688-7211,1,S_005_02_DTC_OBS_RATE,35.71,-,10/01/2022,09/30/2024,-,"581 POQUONOCK AVE, WINDSOR, CT, 06095"
