"CMS Certification Number (CCN)","Provider Name","Address Line 1",City/Town,State,"ZIP Code",County/Parish,"Telephone Number","CMS Region","Measure Code",Score,Footnote,"Start Date","End Date","Measure Date Range",LOCATION1
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_004_01_PPR_PD_COMP_PERF,"No Different than the National Rate",-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_004_01_PPR_PD_OBS,11.43,-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_004_01_PPR_PD_OBS_READM,36,-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_004_01_PPR_PD_RSRR,11.00,-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_004_01_PPR_PD_RSRR_2_5,8.57,-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_004_01_PPR_PD_RSRR_97_5,14.09,-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_004_01_PPR_PD_VOLUME,315,-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_005_02_DTC_COMP_PERF,"Better than the National Rate",-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_005_02_DTC_NUMBER,160,-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_005_02_DTC_OBS_RATE,50.63,-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
