CMS Certification Number (CCN),Provider Name,City/Town,County/Parish,State,health_inspection_rating,short_stay_qm_rating,adjusted_total_nurse_hours_per_resident_day,estimated_occupancy_rate,abuse_icon_flag,total_weighted_health_survey_score,rating_cycle_1_total_health_score,missing_metric_count,disqualified_top10_flag,health_inspection_rating_component,short_stay_qm_rating_component,adjusted_total_nurse_hours_per_resident_day_component,estimated_occupancy_rate_component,abuse_icon_flag_component,rating_cycle_1_total_health_score_component,total_weighted_health_survey_score_component,composite_score,eligible_for_top10,overall_rank,eligible_rank
335269,The Wartburg Home,MOUNT VERNON,Westchester,NY,3.0,5.0,4.70319,0.20761904761904762,0,37.0,40.0,0,False,0.5,1.0,0.4814866159393765,1.0,1.0,0.9236641221374046,0.9469534050179211,0.9180074387924788,True,1,1.0
335020,HEBREW HOME FOR THE AGED AT RIVERDALE,RIVERDALE,Bronx,NY,5.0,5.0,3.27139,0.43202846975088965,0,10.0,0.0,0,False,1.0,1.0,0.2584630721423064,0.7450996395084011,1.0,1.0,0.985663082437276,0.8913875052217703,True,2,2.0
315029,DAUGHTERS OF ISRAEL PLEASANT VALLEY HOME,WEST ORANGE,Essex,NJ,3.0,5.0,4.18611,0.3165016501650165,0,60.0,64.0,0,False,0.5,1.0,0.4009439325851448,0.8763233095269717,1.0,0.8778625954198473,0.9139784946236559,0.880125353657826,True,3,3.0
315292,"APPLEWOOD VILLAGE, INC",FREEHOLD,Monmouth,NJ,4.0,5.0,6.14343,0.5966666666666666,0,15.0,20.0,0,False,0.75,1.0,0.7058248117197176,0.558091735179576,1.0,0.9618320610687023,0.978494623655914,0.8621733358559329,True,4,4.0
315479,CAREONE AT LIVINGSTON,LIVINGSTON,Essex,NJ,4.0,5.0,3.92088,0.505,0,29.0,28.0,0,False,0.75,1.0,0.3596305267174979,0.6622133275638251,1.0,0.9465648854961832,0.9584229390681004,0.857232738140947,True,5,5.0
335631,CHAPIN HOME FOR THE AGING,JAMAICA,Queens,NY,5.0,5.0,3.91511,0.6195454545454546,0,7.0,8.0,0,False,1.0,1.0,0.35873176582372146,0.532104362534912,1.0,0.9847328244274809,0.9899641577060931,0.8521244168258593,True,6,6.0
335621,UNITED HEBREW GERIATRIC CENTER,NEW ROCHELLE,Westchester,NY,4.0,5.0,3.75851,0.5717687074829931,0,14.0,16.0,0,False,0.75,1.0,0.3343390524848325,0.5863726278049083,1.0,0.9694656488549618,0.9799283154121864,0.8423464928690504,True,7,7.0
315153,"MANOR, THE",FREEHOLD,Monmouth,NJ,4.0,4.0,4.3178,0.4585365853658536,0,25.0,32.0,0,False,0.75,0.75,0.42145655339994864,0.7149898154109192,1.0,0.9389312977099237,0.96415770609319,0.83710821453113,True,8,8.0
335833,JEFFERSON'S FERRY,SOUTH SETAUKET,Suffolk,NY,5.0,5.0,5.0383,0.7733333333333333,0,4.0,0.0,0,False,1.0,1.0,0.5336848417822568,0.3574210298572047,1.0,1.0,0.9942652329749104,0.828586654594913,True,9,9.0
315512,HOBOKEN UNIVERSITY MEDICAL CENTER TCU,HOBOKEN,Hudson,NJ,4.0,4.0,7.40962,0.6466666666666666,0,20.0,20.0,0,False,0.75,0.75,0.9030522044564212,0.5012981393336219,1.0,0.9618320610687023,0.9713261648745519,0.82786463202861,True,10,10.0
335254,ACADIA CENTER FOR NURSING AND REHABILITATION,RIVERHEAD,Suffolk,NY,4.0,5.0,3.32981,0.6143646408839779,0,21.0,12.0,0,False,0.75,1.0,0.2675628314862266,0.5379891032797741,1.0,0.9770992366412213,0.9698924731182795,0.8270372750775036,True,11,11.0
315322,INGLEMOOR REHABILITATION AND CARE CENTER,LIVINGSTON,Essex,NJ,5.0,5.0,4.2655,0.7456521739130435,0,1.0,0.0,0,False,1.0,1.0,0.41331007250835294,0.388863281470472,1.0,1.0,0.9985663082437276,0.8270333017973927,True,12,12.0
315199,IMPERIAL CARE CENTER,NEPTUNE,Monmouth,NJ,5.0,5.0,3.90003,0.7289256198347107,0,6.0,8.0,0,False,1.0,1.0,0.35638283787256914,0.4078625045148786,1.0,0.9847328244274809,0.9913978494623656,0.8254357875219324,True,13,13.0
315459,NEW JERSEY VETERANS MEMORIAL HOME MENLO,EDISON,Middlesex,NJ,4.0,4.0,6.17867,0.5911585365853659,0,27.0,36.0,0,False,0.75,0.75,0.7113139510432326,0.5643482654536627,1.0,0.9312977099236641,0.9612903225806452,0.8247819128506092,True,14,14.0
315457,LUTHERAN SOCIAL MINISTRIES CRANES MILL,WEST CALDWELL,Essex,NJ,4.0,5.0,4.30033,0.6678571428571428,0,19.0,16.0,0,False,0.75,1.0,0.41873534840614024,0.4772284725227175,1.0,0.9694656488549618,0.9727598566308244,0.8244747336757199,True,15,15.0
335873,HELEN HAYES HOSPITAL T C U,WEST HAVERSTRAW,Rockland,NY,5.0,5.0,6.98336,0.8958333333333334,0,0.0,0.0,0,False,1.0,1.0,0.836656048723121,0.21827672003461707,1.0,1.0,1.0,0.8208204434876409,True,16,16.0
335844,THE KNOLLS,VALHALLA,Westchester,NY,5.0,5.0,5.33161,0.825,0,9.0,0.0,0,False,1.0,1.0,0.5793721134899805,0.29873431414971885,1.0,1.0,0.9870967741935484,0.818762273580906,True,17,17.0
335447,KING STREET HOME INC,PORT CHESTER,Westchester,NY,2.0,5.0,4.68437,0.5091666666666667,0,62.0,80.0,0,False,0.25,1.0,0.4785551289340261,0.6574805279099957,1.0,0.8473282442748091,0.9111111111111111,0.8185311477178524,True,18,18.0
315483,Plaza Healthcare & Rehabilitation Center,ELIZABETH,Union,NJ,4.0,5.0,4.23402,0.70703125,0,18.0,16.0,0,False,0.75,1.0,0.40840660752809604,0.43273170434876684,1.0,0.9694656488549618,0.9741935483870968,0.814304351272604,True,19,19.0
335078,YORKTOWN REHABILITATION & NURSING CENTER,CORTLANDT MANOR,Westchester,NY,3.0,5.0,3.73036,0.6104999999999999,0,38.0,28.0,0,False,0.5,1.0,0.32995428313304626,0.5423788403288621,1.0,0.9465648854961832,0.9455197132616487,0.8106553859198188,True,20,20.0
315469,CONTINUING CARE AT SEABROOK,TINTON FALLS,Monmouth,NJ,5.0,4.0,5.12398,0.7034883720930233,0,5.0,4.0,0,False,1.0,0.75,0.5470307401147986,0.4367559598683747,1.0,0.9923664122137404,0.992831541218638,0.8101783266537359,True,21,21.0
315329,"OAKS AT DENVILLE, THE",DENVILLE,Morris,NJ,3.0,5.0,5.30002,0.680952380952381,0,47.0,40.0,0,False,0.5,1.0,0.5744515144198943,0.4623539593249676,1.0,0.9236641221374046,0.9326164874551971,0.8084138572848142,True,22,22.0
335842,PECONIC LANDING AT SOUTHOLD,GREENPORT,Suffolk,NY,4.0,5.0,5.38883,0.7924242424242424,0,13.0,12.0,0,False,0.75,1.0,0.5882849554903076,0.335736202352386,1.0,0.9770992366412213,0.9813620071684588,0.8074253433112247,True,23,23.0
315367,REGENCY HERITAGE NURSING AND REHABILITATION CENTER,SOMERSET,Somerset,NJ,4.0,5.0,3.63835,0.7120754716981131,0,20.0,24.0,0,False,0.75,1.0,0.3156223958130515,0.42700211457916626,1.0,0.9541984732824428,0.9713261648745519,0.805153812693396,True,24,24.0
335853,JOHN T MATHER MEMORIAL HOSP T C U,PORT JEFFERSON,Suffolk,NY,3.0,5.0,7.85911,0.825,0,30.0,36.0,0,False,0.5,1.0,0.9730667684327761,0.29873431414971885,1.0,0.9312977099236641,0.956989247311828,0.8041111905798161,True,25,25.0
