rank,CMS Certification Number (CCN),Provider Name,City/Town,County/Parish,State,composite_score,missing_metric_count,health_inspection_rating,short_stay_qm_rating,adjusted_total_nurse_hours_per_resident_day,estimated_occupancy_rate,abuse_icon_flag,rating_cycle_1_total_health_score,total_weighted_health_survey_score
1.0,335269,The Wartburg Home,MOUNT VERNON,Westchester,NY,0.9180074387924788,0,3.0,5.0,4.70319,0.20761904761904762,0,40.0,37.0
2.0,335020,HEBREW HOME FOR THE AGED AT RIVERDALE,RIVERDALE,Bronx,NY,0.8913875052217703,0,5.0,5.0,3.27139,0.43202846975088965,0,0.0,10.0
3.0,315029,DAUGHTERS OF ISRAEL PLEASANT VALLEY HOME,WEST ORANGE,Essex,NJ,0.880125353657826,0,3.0,5.0,4.18611,0.3165016501650165,0,64.0,60.0
4.0,315292,"APPLEWOOD VILLAGE, INC",FREEHOLD,Monmouth,NJ,0.8621733358559329,0,4.0,5.0,6.14343,0.5966666666666666,0,20.0,15.0
5.0,315479,CAREONE AT LIVINGSTON,LIVINGSTON,Essex,NJ,0.857232738140947,0,4.0,5.0,3.92088,0.505,0,28.0,29.0
6.0,335631,CHAPIN HOME FOR THE AGING,JAMAICA,Queens,NY,0.8521244168258593,0,5.0,5.0,3.91511,0.6195454545454546,0,8.0,7.0
7.0,335621,UNITED HEBREW GERIATRIC CENTER,NEW ROCHELLE,Westchester,NY,0.8423464928690504,0,4.0,5.0,3.75851,0.5717687074829931,0,16.0,14.0
8.0,315153,"MANOR, THE",FREEHOLD,Monmouth,NJ,0.83710821453113,0,4.0,4.0,4.3178,0.4585365853658536,0,32.0,25.0
9.0,335833,JEFFERSON'S FERRY,SOUTH SETAUKET,Suffolk,NY,0.828586654594913,0,5.0,5.0,5.0383,0.7733333333333333,0,0.0,4.0
10.0,315512,HOBOKEN UNIVERSITY MEDICAL CENTER TCU,HOBOKEN,Hudson,NJ,0.82786463202861,0,4.0,4.0,7.40962,0.6466666666666666,0,20.0,20.0
